id;cod_mec;cnpj;desc_nome;municipio;uf;desc_rede;endereco;endereco_nro;endereco_bairro;endereco_compl;endereco_cep
108458;25118285;;GEO SUL;JOAO PESSOA;PB;Particular;ANTONIO TARGINO PESSOA DA SILVEIRA;579;JARDIM CIDADE UNIVERSITARIA;;58052250
108459;1000005654;3789380000000;APOIO EDUC INF E ENS FUND;JOAO PESSOA;PB;Particular;MURISMAN DE ANDRADE CARNEIRO;225;JARDIM C UNIVERSITARIA;;58052284
108465;4000000336;13212300000000;ESC EDUC INF FUTURA;JOAO PESSOA;PB;Particular;CART OLIVIO PONTES;45;JARDIM SAO PAULO;;58053020
108468;25114921;2491870000000;INST EDUC ANEZIO ARAUJO;JOAO PESSOA;PB;Particular;PROF ROSA SETTI;87;MANGABEIRA I;;58055330
108479;25098314;35491300000000;INTEGRACAO C DE ENSINO DE 1GR LTDA;JOAO PESSOA;PB;Particular;RODOPIANO FERREIRA DA NOBREGA;435;MANGABEIRA II;;58057010
108496;25101765;11479200000000;ESCOLA SOLDADINHO DE CRISTO;JOAO PESSOA;PB;Particular;MARYLAND DE SOUZA FERRAZ;184;MANGABEIRA VIII;PROJETO MARIZ II;58059330
108546;25098225;40983900000000;INSTITUTO EDUCACIONAL DOMINIQUE;JOAO PESSOA;PB;Particular;BENICIO DE OLIVEIRA LIMA;NULL;JOSE AMERICO DE ALMEIDA;;58073030
108550;25124170;5423650000000;IEG COLEGIO E CURSO;JOAO PESSOA;PB;Particular;ETELVINA ALVES DE OLIVEIRA;75;JOSE AMERICO;;58074082
108553;25101668;12544400000000;IEPMA - COLEGIO E CURSO;JOAO PESSOA;PB;Particular;VALDEMAR NAZIAZENO;NULL;GEISEL;;58075000
108557;25098322;8604940000000;INST EDUC PROF MARIA DOS ANJOS;JOAO PESSOA;PB;Particular;DEPUTADO PETRONIO FIGUEIREDO;906;GEISEL;;58075410
108574;25096800;8578970000000;ESCOLA PROF RAMALHO;JOAO PESSOA;PB;Particular;JORNALISTA JOAO JOSE RAMALHO;444;COSTA E SILVA;;58081110
108578;25098306;1040830000000;INST WALT DISNEY ELOHIM COL E CURSO;JOAO PESSOA;PB;Particular;DA ACAO;68;INDUSTRIAS;;58083000
108594;25125605;260648000000;COLEGIO ATENEU;JOAO PESSOA;PB;Particular;CRUZ DAS ARMAS;1136;CRUZ DAS ARMAS;;58085000
108663;25061674;8342390000000;COLEGIO MENINO JESUS DE PRAGA;ESPERANCA;PB;Particular;PRACA AUGUSTO DONATO;323;CENTRO;;58135000
108683;25122568;11333400000000;IDEA INSTITUTO DELTA DE ENSINO E APRENDIZAGEM;CUITE;PB;Particular;RUA MINISTRO JOSE AMERICO;151;31 DE MARCO;;58175000
108696;25068458;8584240000000;COL SANTO ANTONIO;GUARABIRA;PB;Particular;R JOSE DA CUNHA UCHOA;44;CENTRO;;58200000
108703;25068911;673829000000;INSTITUTO PAULO FREIRE;GUARABIRA;PB;Particular;RUA SEVERINA VICTOR DE ABREU;NULL;SAO JOSE;;58200000
108764;25113100;434999000000;EDUCANDARIO COLIBRI;ITAPOROROCA;PB;Particular;7 DE SETEMBRO;75;Estudantes;;58275000
108779;25124250;7231450000000;EEIEF CHAPEUZINHO VERMELHO;JACARAU;PB;Particular;RUA PRESIDENTE JOAO PESSOA;400;CENTRO;;58278000
108855;25117840;2218120000000;EXATUS SISTEMA DE ENSINO;SANTA RITA;PB;Particular;CAMPINA GRANDE;411;TIBIRI II;;58302195
108887;25090852;8924700000000;ESCOLA SENHOR DO BONFIM;BAYEUX;PB;Particular;ESTRELA;125;CENTRO;;58306190
108982;25135406;;COLEGIO E CURSO ALBERT EINSTEIN;SAPE;PB;Particular;AV GETULIO VARGAS;NULL;CENTRO;;58340000
109025;25129406;8252370000000;CEMES - COMPLEXO EDUCACIONAL MODERNO EL SHADAY;INGA;PB;Particular;RUA EUCLIDES MAGNO BACALHAU;182;CENTRO;;58380000
109033;25062832;41147500000000;SISTEMA DINAMICO DE ENSINO - CANTINHO DO SABER;ALAGOA GRANDE;PB;Particular;RUA JOSE LUIZ MARTINS DE ALBUQUERQUE;273;CONJUNTO JOSE MARQUES;QUADRA C;58388000
109047;25064266;6958050000000;ESCOLINHA EDUCACIONAL RISCO E RABISCO;AREIA;PB;Particular;RUA DA GAMELEIRA;530;CENTRO;;58397000
109050;25120891;4857400000000;SISTEMA EDUCACIONAL AREIENSE;AREIA;PB;Particular;RUA DR JOSE EVARISTO;295;CENTRO;;58397000
109125;25075314;24107400000000;INSTITUTO MODERNO SANTA MONICA;CAMPINA GRANDE;PB;Particular;FRANCISCO ROSA DE FARIAS;36;MONTE SANTO;;58400710
109132;25072609;1364680000000;COLEGIO AUTENTICO LTDA;CAMPINA GRANDE;PB;Particular;PROFESSOR MAURO LUNA;NULL;CENTRO;;58401300
109133;25126040;;NDI COLEGIO E CURSO LTDA ME;CAMPINA GRANDE;PB;Particular;VIGOLVINO WANDERLEY;NULL;CONCEICAO;;58401311
109167;25071866;40950900000000;ESCOLA DE 1O GRAU PETRONIO FIGUEIREDO LTDA;CAMPINA GRANDE;PB;Particular;RIACHUELO;NULL;LIBERDADE;;58414140
109169;25213806;6977340000000;COLEGIO E CURSO PETRONIO FIGUEIREDO LTDA;CAMPINA GRANDE;PB;Particular;RIACHUELO;NULL;LIBERDADE;;58414140
109257;25124315;6106080000000;CENTRO EDUCACIONAL ARTE E VIDA;CAMPINA GRANDE;PB;Particular;RUA PRISCILA DE SOUSA BARBOSA;79;SAO JOSE DA MATA;;58441000
109348;25021877;9309340000000;INST EDUC MARIA DO SOCORRO;PATOS;PB;Particular;JOAO DOMINGOS DE QUEIROZ;25;JARDIM QUEIROZ;;58704140
109351;25139002;4791130000000;CENTRO PATOENSE INTEGRADO DE EDUCACAO LTDA;PATOS;PB;Particular;ANTONIO JUSTINO;NULL;BELO HORIZONTE;;58704620
109387;25030540;24508400000000;COL MONTEIRO LOBATO;ITAPORANGA;PB;Particular;R SEBASTIAO RODRIGUES DE OLIVEIRA;100;CENTRO;;58780000
109407;25017934;9290590000000;COLEGIO MONTEIRO LOBATO LTDA;SOUSA;PB;Particular;R FELIX SUCUPIRA DE QUEIROGA;16;GATO PRETO;;58802220
109424;25016172;24297500000000;ESCOLA MENINO JESUS;POMBAL;PB;Particular;RUA FRANCISCO BEZERRA;544;CENTRO;;58840000
109433;25003828;;CEMO JUNIOR CENTRO DE ESTUD MODERNOS;SAO BENTO;PB;Particular;RUA LEANDRO PINTO;371;CENTRO;;58865000
109444;25001795;9223370000000;COLEGIO TECNICO DOM VITAL;CATOLE DO ROCHA;PB;Particular;AV DEPUTADO AMERICO MAIA;871;CENTRO;AO LADO DA ANTIGA MA;58884000
109445;25001817;12678600000000;EDUCANDARIO JOAO AGRIPINO FILHO;CATOLE DO ROCHA;PB;Particular;AV AMERICO MAIA;584;CENTRO;;58884000
109461;25008935;41141300000000;ESCOLA VITORIA-REGIA;CAJAZEIRAS;PB;Particular;R SAO SEBASTIAO;25;CENTRO;;58900000
109523;25103269;1080480000000;COLEGIO JOAO HERMAN RODRIGUES DE FIGUEIREDO;CONCEICAO;PB;Particular;PRACA CONEGO ANTONIO ANDRADE, 111;NULL;CENTRO;;58970000
109530;25126032;;GEOZINHO ARARUNA;ARARUNA;PB;Particular;CORONEL LUIZ TARGINO;1000;Centro;;58233000
115227;26173255;4304350000000;ESCOLA PEQUENO APRENDIZ;RECIFE;PE;Particular;PEREIRA DE MORAIS;113;CORDEIRO;;50630610
115307;26152819;1820930000000;GRUPO EDUC DO RECIFE ANGLO LIDER;RECIFE;PE;Particular;CAMILO COLIER;136;CORDEIRO;;50721220
115320;26457776;;ESCOLA NOSSA SENHORA DAS GRACAS;RECIFE;PE;Particular;ANTONIO CURADO;227;ENGENHO DO MEIO;;50730180
115326;26120224;9754080000000;ESCOLA SOUZA VERAS;RECIFE;PE;Particular;GOVERNADOR LOPO GARRO;875;ENGENHO DO MEIO;;50730290
115327;26181150;;ESCOLA SOUZA VERAS ANEXO I;RECIFE;PE;Particular;GOVERNADOR LOPO GARRO;309;ENGENHO DO MEIO;;50730290
115344;26118181;8174970000000;GERACAO COLEGIO E CURSO;RECIFE;PE;Particular;DEPUTADO CUNHA RABELO;1235;VARZEA;;50740400
115439;26118050;11445300000000;COLEGIO MONTE LIBANO;RECIFE;PE;Particular;LEANDRO BARRETO;735;JARDIM SAO PAULO;;50790000
115483;26120917;10901500000000;INSTITUTO EDUCACIONAL JOAO DE DEUS;RECIFE;PE;Particular;BONITO;254;MANGUEIRA;CASA;50820020
115509;26118157;8961660000000;CENTRO EDUCACIONAL ESTANCIA;RECIFE;PE;Particular;DOUTOR JOSE RUFINO;634;AREIAS;;50865000
115548;26120208;10668300000000;ESCOLA SAO JORGE;RECIFE;PE;Particular;APRIGIO GUIMARAES;840;TEJIPIO;;50920640
115606;26181428;;ESCOLA ESPACO CRIANCA BOA VIAGEM;RECIFE;PE;Particular;DOUTOR JOAO GUILHERME DE PONTES SOBRINHO;516;BOA VIAGEM;;51021090
115657;26143399;10051400000000;COLEGIO SANTA BARBARA LTDA;RECIFE;PE;Particular;GENERAL GOES MONTEIRO;421;IMBIRIBEIRA;PREDIOS;51170560
115689;26117797;6149710000000;CENTRO EDUCACIONAL ANTONIO GALDINO;RECIFE;PE;Particular;FERNANDO TOMAZ DA SILVA;66;IBURA DE BAIXO;;51240010
115700;26162822;4200870000000;ESCOLA PEQUENO PRINCIPE;RECIFE;PE;Particular;SILVA JARDIM;89;JORDAO BAIXO;;51250100
115809;26526719;8415260000000;COLEGIO DO SABER;RECIFE;PE;Particular;FRANKLIN TAVORA;159;CAMPO GRANDE;;52040050
115891;26140870;1258770000000;ESCOLA VILA SEZAMO;RECIFE;PE;Particular;MURICI;46;CASA AMARELA;;52071070
115895;26143739;24417400000000;EDUCANDARIO DA CARLA;RECIFE;PE;Particular;ELIETE AGUIAR;27;CASA AMARELA;ALTO DO MANDU;52071180
115963;26180863;;COLEGIO ANGLO LIDER;RECIFE;PE;Particular;VISCONDE DE ABAETE;200;TAMARINEIRA;;52110010
116086;26445727;7606090000000;ESCOLA SILVA OLIVEIRA;RECIFE;PE;Particular;DO BARTOLOMEU;12;MORRO DA CONCEICAO;;52280060
116101;26126702;8960840000000;ESCOLA DA ANINHA;RECIFE;PE;Particular;JOSE IDALINO;480;GUABIRABA;CASA AMARELA;52291070
116177;26157314;;ESCOLA EDUCAR-BEM ESTAR SOCIAL;OLINDA;PE;Particular;DO SOL;75;AGUAS COMPRIDAS;;53120010
116181;26146312;539703000000;COLEGIO NOSSA SENHORA DO CARMO;OLINDA;PE;Particular;BARAO DE SAO BORJA;978;CASA CAIADA;;53130000
116299;26150085;123126000000;INSTITUTO DE EDUCACAO DE OURO PRETO;OLINDA;PE;Particular;DOUTORA KARINA LIGIA DA CRUZ;13;OURO PRETO;;53370140
116334;26115565;10981900000000;COL AMERICANO BATISTA EXTENSAO FILANTROPICA;PAULISTA;PE;Particular;JOAO PAULO II;1020;MIRUEIRA;;53405190
116376;26178524;5159990000000;EDUCANDARIO TURMA DA MONICA;PAULISTA;PE;Particular;SETE;101;MARANGUAPE II;;53421041
116450;26177005;5543280000000;COLEGIO BONIFACIO GALDINO;PAULISTA;PE;Particular;RUA 76;135;MARANGUAPE I;;53440000
116612;26139766;69924300000000;ESCOLA FREINET;JABOATAO DOS GUARARAPES;PE;Particular;PADRE CHROMACIO LEAO;50;CENTRO;;54080330
116728;26111039;41105000000000;ESCOLA IMACULADA CONCEICAO;JABOATAO DOS GUARARAPES;PE;Particular;SEIS;96;CURADO I;;54240050
116743;26108526;24151700000000;CENTRO ESCOLAR SAO JOSE;JABOATAO DOS GUARARAPES;PE;Particular;JOAO LOPES;15;CURADO IV;;54270060
116808;26110032;41048900000000;COLEGIO EMILIA FERREIRO;JABOATAO DOS GUARARAPES;PE;Particular;FLORIANO PEIXOTO;205;PRAZERES;;54310561
116823;26181380;;EDUCANDARIO AMARA MAURICIO;JABOATAO DOS GUARARAPES;PE;Particular;BOA ESPERANCA;432;JARDIM JORDAO;;54320030
116829;26111772;9684860000000;INST BRASILIA;JABOATAO DOS GUARARAPES;PE;Particular;SRG QUINTAS PORTO;445;JARDIM JORDAO;;54320111
117043;26130130;11690300000000;COLEGIO E CURSO PONTUAL;CABO DE SANTO AGOSTINHO;PE;Particular;MANOEL LELIS BARBOSA;21;VILA SOCIAL CONTRA MOCAMBO;ANTIGA RUA 17;54510270
117113;26174774;5333360000000;GRUPO EDUCACIONAL DE SAO LOURENCO ANGLO LIDER;SAO LOURENCO DA MATA;PE;Particular;ALMIRANTE TAMANDARE;100;CENTRO;;54735420
117159;26163411;4063070000000;CENTRO EDUC DO CAMARAGIBE - ANGLO LIDER;CAMARAGIBE;PE;Particular;DOUTOR BELMINO CORREIA;420;BAIRRO NOVO;;54762000
117361;4000000550;15763100000000;ESPACO EDUC FONTE DO SABER;CARUARU;PE;Particular;CEL FRANCISCO RODRIGUES PORTO;82;PETROPOLIS;;55032000
117363;26169525;5138680000000;COLEGIO CRIATIVO;CARUARU;PE;Particular;MARECHAL CANDIDO RONDON;214;PETROPOLIS;;55032350
117372;1000004221;;ESPACO EDUC;CARUARU;PE;Particular;BELEM DO SAO FRANCISCO;86;BOA VISTA;;55038275
117393;26156717;11410500000000;COLEGIO NOVA ALTERNATIVA;TORITAMA;PE;Particular;RUA MANOEL BORBA;143;CENTRO;;55125000
117394;26181215;;ESCOLA ESTACAO DO SABER;TORITAMA;PE;Particular;RUA MANOEL TENORIO;222;CENTRO;;55125000
117409;26050242;8861530000000;COLEGIO AGUIA;BELO JARDIM;PE;Particular;SIQUEIRA CAMPOS;263;SAO PEDRO;;55150001
117411;26141388;866667000000;EDUCANDARIO DJANIRA GERMANO;BELO JARDIM;PE;Particular;SIQUEIRA CAMPOS;178;BOM CONSELHO;;55150001
117452;26150387;2823080000000;EDUCANDARIO ANTONIO BURGOS;SANTA CRUZ DO CAPIBARIBE;PE;Particular;RUA DR. PETRONIO BARBOSA;268;NOVA SANTA CRUZ;;55190000
117467;26058448;10847700000000;COLEGIO SANTA DOROTEIA;PESQUEIRA;PE;Particular;AV ESIO ARAUJO;350;CENTRO;TERREO;55200000
117528;26075563;69896400000000;EDUCANDARIO CECILIA MEIRELES;GARANHUNS;PE;Particular;BARRETO COELHO;760;SAO JOSE;;55294540
117585;26161966;4226400000000;ESCOLA ARCO IRIS;CACHOEIRINHA;PE;Particular;AV 31 DE MARCO;82;CENTRO;;55380000
117587;26078864;2574360000000;ESCOLA JEAN PIAGET ENS INFANTIL FUNDAMENTAL E MEDIO;LAJEDO;PE;Particular;RUA VICENTE FERREIRA;73;MADALENA;;55385000
117720;26102617;12888600000000;EDUCAND?RIO S?O JOS;RIBEIRAO;PE;Particular;MARTINS JUNIOR;96;CENTRO;;55520000
117757;26101840;10193900000000;INSTITUTO EDUCACIONAL PETER PAN;PALMARES;PE;Particular;AV VISCONDE DO RIO BRANCO;1485;CENTRO;;55540000
117791;26141957;1766360000000;CENTRO DE APRENDIZAGEM PRIMARIA - CAP;BARREIROS;PE;Particular;RUA TENENTE SABINO;371;GRANJA ITAPERIBU;;55560000
117899;26137171;822811000000;COLEGIO E CURSO PROJECAO LTDA;VITORIA DE SANTO ANTAO;PE;Particular;TRES DE AGOSTO;125;LIVRAMENTO;;55602580
118058;26161397;4667610000000;EDUCANDARIO MICKEY MOUSE;BEZERROS;PE;Particular;RUA SANTA CRUZ;279;CENTRO;;55660000
118114;26069679;70077400000000;COLEGIO SANTA MONICA;LIMOEIRO;PE;Particular;AV. JERONIMO HERACLIO;264;CENTRO;;55700000
118323;26178788;4234950000000;EDUCANDARIO ARTE INFANTIL - COLEGIO AGAPE;GOIANA;PE;Particular;RUA SANTA TEREZA;118;CENTRO;;55900000
118376;26031973;35697000000000;ESCOLA GREGORIO DE SOUZA MENEZES;CABROBO;PE;Particular;RUA JOAQUIM ANDRE CAVALCANTE;112;CENTRO;CONJUNTO;56180000
118381;26005085;35448800000000;EDUCANDARIO DOM HELDER PESSOA CAMARA;OURICURI;PE;Particular;RUA ALMIR DE SOUZA MASCARENHAS;188;RENASCENCA;;56200000
118383;26152088;4829180000000;ESCOLA SANTA TEREZINHA;OURICURI;PE;Particular;RUA BLANDINA DE SA COSTA GOMES;201;CENTRO;;56200000
118391;26145421;2624990000000;DETCA-DESENV EDUCACIONAL TC APRENDIZAGEM;TRINDADE;PE;Particular;RUA CORONEL PEDRO CICERO;137;CENTRO;;56250000
118398;26000016;11474800000000;CENTRO EDUCACIONAL DO ARARIPE;ARARIPINA;PE;Particular;RUA TIRADENTES;240;CENTRO;;56280000
118406;26173441;6047800000000;ESCOLA INTEGRACAO;ARARIPINA;PE;Particular;RUA JOAQUIM ALVES DE CASTRO;293;CENTRO;;56280000
118449;26033917;10729800000000;COLEGIO DOM BOSCOMATRIZ;PETROLINA;PE;Particular;CORONEL AMORIM;NULL;CENTRO;ESCOLA;56302320
118467;26035308;1608590000000;CENTRO MODERNO DE EDUCACAO DE PETROLINA;PETROLINA;PE;Particular;PIO XII;279;G COELHO;;56306270
118469;26036070;11473700000000;SORRISO COLEGIO E CURSO;PETROLINA;PE;Particular;CASA NOVA;17;COHAB MASSANGANO;;56306550
118491;26132028;4191940000000;ESCOLA ANA NERY SC LTDA;PETROLINA;PE;Particular;DO CAJU;60;RIO CORRENTE;;56312670
118552;26038200;394217000000;COLEGIO NOBRE;SANTA MARIA DA BOA VISTA;PE;Particular;RUA DIOSCORO DE SA GONZAGA;68;CENTRO;PREDIO;56380000
118557;26133842;4169180000000;EDUCANDARIO CICERO REGO;LAGOA GRANDE;PE;Particular;RUA MANDACARU;9;CENTRO;PREDIO ESCOLAR;56395000
118563;26147874;591978000000;EDUCANDARIO PEQUENO APRENDIZ;FLORESTA;PE;Particular;RUA MARIA MENEZES;53;CENTRO;;56400000
118577;26156164;5694730000000;EDUCANDARIO CONSTRUTORES DO SABER;TACARATU;PE;Particular;RUA FLORIO JOAO DE OLIVEIRA;NULL;CARAIBEIRAS;;56485000
118614;26174510;5440220000000;ESCOLA NOSSA SENHORA AUXILIADORA;CUSTODIA;PE;Particular;RUA ADOLFO GOMES DE CARVALHO;113;REDENCAO;ESCOLA;56640000
118617;26019833;1003180000000;COLEGIO INTERATIVO;SAO JOSE DO EGITO;PE;Particular;AVENIDA BRASIL;335;JARDIM BOA VISTA;PREDIO;56700000
126826;22138560;2809600000000;COLEGIO CPI;TERESINA;PI;Particular;DESEMBARGADOR PIRES DE CASTRO;149;CENTRO;;64000390
126889;22136398;5510440000000;COLEGIO ALSISTE;TERESINA;PI;Particular;TAMBORIL;1635;PARQUE ALVORADA;;64005250
126985;22214607;86897300000000;EDUCANDARIO ARCO IRIS LTDA;TERESINA;PI;Particular;QUADRA J1 CONJUNTO PORTO ALEGRE;5;ESPLANADA;;64039010
127028;22109820;8073160000000;COLEGIO ALMIRANTE TAMANDARE PRE-MILITAR;TERESINA;PI;Particular;B;NULL;VALE QUEM TEM;QUADRA F;64057020
127033;22141006;5106560000000;COLEGIO INTEGRADO SANTO ANDRE;TERESINA;PI;Particular;AVENIDA MARIA ANTONIETA BULAMARQUE;5357;SATELITE;LOT. SOL NASCEN;64060080
127105;22003568;12324300000000;EDUCANDARIO MANOEL RODRIGUES;ESPERANTINA;PI;Particular;RUA MANOEL RODRIGUES CHAVES;75;CENTRO;;64180000
127122;22135790;5922120000000;ORGANIZACAO EDUCACIONAL APOIO LTDA;PARNAIBA;PI;Particular;SANTO ANTONIO;888;CENTRO;;64200361
127129;22015930;6711570000000;UNID ESC SAO LUIZ GONZAGA;PARNAIBA;PI;Particular;CAPITAO CLARO;676;CENTRO;;64200500
127139;22126538;4354900000000;COLEGIO A CHAVE DO SABER;PARNAIBA;PI;Particular;CARLOS CARVALHO;170;RODOVIARIA;;64210340
127164;22016562;35147200000000;ESCOLINHA GENIUS INFANTIL LTDA;PIRACURUCA;PI;Particular;AVENIDA LANDRI SALES;NULL;FATIMA;;64240000
127213;22050639;63509400000000;INSTITUTO OPCAO DE ENSINO-INOP;VALENCA DO PIAUI;PI;Particular;RUA CICERO PORTELA;95;CENTRO;;64300000
127239;22041583;23522000000000;INSTITUTO EDUCACIONAL YASMINI;AGUA BRANCA;PI;Particular;RUA PROJETADA;75;CENTRO;;64460000
127250;22127933;4137080000000;INSTITUTO EDUCACIONAL MAHATMA GANDHI;OEIRAS;PI;Particular;PRACA DA BANDEIRA;91;CENTRO;;64500000
127275;22126384;9428320000000;COL ANTARES;PICOS;PI;Particular;RUA MARCOS PARENTE;309;CENTRO;;64600000
127276;22128778;4278130000000;INSTITUTO EDUCACIONAL SANTA RITA;PICOS;PI;Particular;AV NOSSA SENHORA DE FATIMA;1075;CANTO DA VARZEA;2O ANDAR;64600000
127308;22098097;4762700000000;COLEGIO MERITO;PAULISTANA;PI;Particular;RUA SEN CANDIDO FERRAZ;49;CENTRO;;64750000
127366;22124993;2928770000000;SOCIEDADE EDUCACIONAL POTENCIAL LTDA;FLORIANO;PI;Particular;AV. EURIPEDES DE AGUIAR;1210;IRAPUA I;CASA;64800000
127369;22141200;5825050000000;COLEGIO IMPACTO;FLORIANO;PI;Particular;RUA PADRE UCHOA;530;CENTRO;;64800000
132737;2000005687;0;SECRETARIA MUNICIPAL DE EDUCACAO DE JOSE DE FREITAS;JOSE DE FREITAS;PI;Municipal;EDIGAGAYOSO;61;CENTRO;;64110000
133864;41128770;75049100000000;COLEGIO DECISIVO CRISTO REI EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO SEDE;CURITIBA;PR;Particular;DO HERVAL;801;CRISTO REI;;80050200
133937;41133307;76705900000000;CURITIBA C ARQUIDIOC EM;CURITIBA;PR;Particular;BR 277 RODOVIA DO CAFE KM 45;4505;ORLEANS;;80251970
133963;41147685;73575900000000;LOGUS E - ED INF ENS FUND;CURITIBA;PR;Particular;ROBERTO CHRISTENSEN;126;PORTAO;;80330270
134011;41129881;80867600000000;INTEGRAL COL - EDUC INF EF-EM;CURITIBA;PR;Particular;ALBERTO FOLLONI;214;CENTRO CIVICO;;80530300
134186;41150031;;RECANTO DA CRIANCA C E I;CURITIBA;PR;Particular;MAJOR INACIO GOMES DA COSTA;54;UBERABA;;81570150
134198;369;75986600000000;ESC PIRAMIDE DO SABER;CURITIBA;PR;Particular;PROF JOSE NOGUEIRA DOS SANTOS;901;HAUER;;81630120
134285;41389190;2750980000000;ESCOLA INOVACAO DO SABER;CURITIBA;PR;Particular;DEPUTADO PINHEIRO JUNIOR;1565;UMBARA;;81930000
134297;41381068;1312900000000;ESCOLA BAMBINATAEDUCACAO INFANTIL E ENSINO FUNDAM;CURITIBA;PR;Particular;RUA LEAO MOCELIN,;328;SANTA FELICIDADE;;82020230
134345;41150422;;INTERATIVA E - EI EF;CURITIBA;PR;Particular;PARANA;1540;BACACHERI;;82510000
134422;41128648;79322800000000;COLEGIO BATISTA MARANATA;CURITIBA;PR;Particular;DA INTEGRACAO;1283;BAIRRO ALTO;;82840290
134514;41399820;3642380000000;ISULPAR C EM;PARANAGUA;PR;Particular;CORONEL JOSE LOBO;800;COSTEIRA;;83203340
134644;41136349;79140300000000;COLEGIO GRACIOSA - EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO;QUATRO BARRAS;PR;Particular;RUA D PEDRO II;142;CENTRO;;83420000
134711;41123840;80810500000000;COLEGIO TECNICO INDUSTRIAL;ARAUCARIA;PR;Particular;RUA LUIZ FRANCESCHI;963;TOMAZ COELHO;;83707070
134814;41552059;;INTEGRACAO PRIMEIROS PASSOS ESCOLA;PONTA GROSSA;PR;Particular;LAGOA AZUL;217;JARDIM ESTRELA DO LAGO;;84036111
134821;41063406;60806600000000;COLEGIO SAO FRANCISCO - EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO;PONTA GROSSA;PR;Particular;ESPIRITO SANTO;17;OFICINAS;;84045245
134842;41571924;;ESCOLA SAO JORGE DE PONTA GROSSA;PONTA GROSSA;PR;Particular;COUTO MAGALHAES;803;NOVA RUSSIA;;84070080
134884;41385594;4139920000000;PEQUENO PRINCIPE NEO MAX E EI EF;JAGUARIAIVA;PR;Particular;RUA JOAQUIM CARLOS DE GOUVEIA;160;SAO LUIZ;;84200000
134894;41382005;5610480000000;IOIO ENCANTADO E EI EF;IMBAU;PR;Particular;RUA POLIBIO MEIRA COTRIM;30;BELA VISTA;;84250000
135014;41363230;2347300000000;MAXIMUS C EI EF M;ARAPOTI;PR;Particular;RUA ILINEU POSSATTO;811;JD PRIMAVERA;;84990000
135017;41099559;2978220000000;INTEGRACAO C EI EF M;GUARAPUAVA;PR;Particular;BARAO DO RIO BRANCO;1211;CENTRO;;85010040
135027;41393619;7976000000000;FERA C EM;GUARAPUAVA;PR;Particular;VICENTE MACHADO;1895;CENTRO;;85010260
135045;41380185;5302940000000;AQUARELA DO SABER CTRO EDUC INF;GUARAPUAVA;PR;Particular;PRESIDENTE ZACARIAS DE GOES;1720;SANTA CRUZ;;85015430
135058;41381424;5231290000000;ESCOLA REINO DA CRIANCA;CANDOI;PR;Particular;RUA PARANA;265;CACIQUE CANDOI;;85140000
135086;41095740;78589800000000;PEQUENO PRINCIPE E EI EF;PALMITAL;PR;Particular;RUA PRINCESA ISABEL;820;CENTRO;;85270000
135166;41383265;1678920000000;FUTURA C EI F M;CORONEL VIVIDA;PR;Particular;RUA HONORATO NEPOMUCENO;215;SCHIAVINI;;85550000
135192;41371933;619832000000;ESCOLA BELTRONENSE EDUC INF E ENS FUND;FRANCISCO BELTRAO;PR;Particular;RIO GRANDE DO SUL;785;NOSSA SRA APARECIDA;CASA;85601050
135206;41372379;56023000118;ALLIANCA C E FUND MEDIO;FRANCISCO BELTRAO;PR;Particular;BRASILIA;660;VILA NOVA;PREDIO;85605310
135267;41072170;80882400000000;SHALON E EI F;CASCAVEL;PR;Particular;VISCONDE DE GUARAPUAVA;957;VILA TOLENTINO;;85802120
135296;41381459;5338320000000;EXPRESSAO C EI F M;CASCAVEL;PR;Particular;RECIFE;1013;CENTRO;;85810030
135369;41075978;80197800000000;AQUARELA ESCOLA ED INFANTIL ENS FUND;FOZ DO IGUACU;PR;Particular;MARTA FREIERTAG;1356;JARDIM LINDOIA;;85856540
135383;41358708;1961160000000;INTERATIVA C EI EF M;FOZ DO IGUACU;PR;Particular;Ipatinga;269;Parque Imperatriz;;85862040
135385;41076370;1057510000000;COOPERATIVA ED FOZ IGUACU C EI EF M;FOZ DO IGUACU;PR;Particular;COSTA E SILVA;1850;PQ PRESIDENTE I;;85863000
135386;41148398;10283300000000;EXPRESSAO ESCOLA - EIEF;FOZ DO IGUACU;PR;Particular;RANIERI MAZZILLI;451;PARQUE PRESIDENTE;;85863100
135407;41079124;60806600000000;COLEGIO LHERMITAGE NOSSA SENHORA DE FATIMA;SAO MIGUEL DO IGUACU;PR;Particular;RUA IRMA DOMITILLA;150;CENTRO;;85877000
135423;41068610;76578100000000;COLEGIO VICENTINO IMACULADO CORACAO DE MARIA;TOLEDO;PR;Particular;RUI BARBOSA;1324;CENTRO;;85900040
135452;41353560;1581470000000;CECILIA MEIRELES C EI EF M;PALOTINA;PR;Particular;RUA 1 DE JANEIRO;671;nomedobairro;;85950000
135453;41379420;4589520000000;CENTRO DE EXC EM EDUCACAO C EF M;PALOTINA;PR;Particular;RUA VEREADOR ANTONIO POSSAN;512;CENTRO;;85950000
135486;41355148;117164000000;ESCOLA ALFA SS LTDA;LONDRINA;PR;Particular;RAPOSO TAVARES;NULL;IPIRANGA;;86010580
